Final
"tender perkhidmatan kebersihan bangunan dan kawasan (kbk) ke sekolah / institusi pendidikan di bawah jabatan pendidikan negeri perlis, kementerian pendidikan malaysia bagi tempoh kontrak mulai 1 september 2024 hingga 31 ogos 2027 (36 bulan) – zon perlis 1"
"tender perkhidmatan kebersihan bangunan dan kawasan (kbk) ke sekolah / institusi pendidikan di bawah jabatan pendidikan negeri perlis, kementerian pendidikan malaysia bagi tempoh kontrak mulai 1 september 2024 hingga 31 ogos 2027 (36 bulan) – zon perlis 2"
"tender perkhidmatan kebersihan bangunan dan kawasan (kbk) ke sekolah / institusi pendidikan di bawah jabatan pendidikan negeri perlis, kementerian pendidikan malaysia bagi tempoh kontrak mulai 1 september 2024 hingga 31 ogos 2027 (36 bulan) – zon perlis 3"
"tender perkhidmatan kebersihan bangunan dan kawasan (kbk) ke sekolah / institusi pendidikan di bawah jabatan pendidikan negeri perlis, kementerian pendidikan malaysia bagi tempoh kontrak mulai 1 september 2024 hingga 31 ogos 2027 (36 bulan) – zon perlis 4"
"tender perkhidmatan kebersihan bangunan dan kawasan (kbk) ke sekolah / institusi pendidikan di bawah jabatan pendidikan negeri perlis, kementerian pendidikan malaysia bagi tempoh kontrak mulai 1 september 2024 hingga 31 ogos 2027 (36 bulan) – zon perlis 5"
"tender perkhidmatan kebersihan bangunan dan kawasan (kbk) ke sekolah / institusi pendidikan di bawah jabatan pendidikan negeri perlis, kementerian pendidikan malaysia bagi tempoh kontrak mulai 1 september 2024 hingga 31 ogos 2027 (36 bulan) – zon perlis 6"
"tender perkhidmatan kebersihan bangunan dan kawasan (kbk) ke sekolah / institusi pendidikan di bawah jabatan pendidikan negeri perlis, kementerian pendidikan malaysia bagi tempoh kontrak mulai 1 september 2024 hingga 31 ogos 2027 (36 bulan) – zon perlis 7"
"tender perkhidmatan kebersihan bangunan dan kawasan (kbk) ke sekolah / institusi pendidikan di bawah jabatan pendidikan negeri perlis, kementerian pendidikan malaysia bagi tempoh kontrak mulai 1 september 2024 hingga 31 ogos 2027 (36 bulan) – zon perlis 8"
"tender perkhidmatan kebersihan bangunan dan kawasan (kbk) ke sekolah / institusi pendidikan di bawah jabatan pendidikan negeri perlis, kementerian pendidikan malaysia bagi tempoh kontrak mulai 1 september 2024 hingga 31 ogos 2027 (36 bulan) – zon perlis 9"
"tender perkhidmatan kebersihan bangunan dan kawasan (kbk) ke sekolah / institusi pendidikan di bawah jabatan pendidikan negeri perlis, kementerian pendidikan malaysia bagi tempoh kontrak mulai 1 september 2024 hingga 31 ogos 2027 (36 bulan) – zon perlis 10"
"tender perkhidmatan kebersihan bangunan dan kawasan (kbk) ke sekolah / institusi pendidikan di bawah jabatan pendidikan negeri perlis, kementerian pendidikan malaysia bagi tempoh kontrak mulai 1 september 2024 hingga 31 ogos 2027 (36 bulan) – zon perlis 11"
"tender perkhidmatan kebersihan bangunan dan kawasan (kbk) ke sekolah / institusi pendidikan di bawah jabatan pendidikan negeri perlis, kementerian pendidikan malaysia bagi tempoh kontrak mulai 1 september 2024 hingga 31 ogos 2027 (36 bulan) – zon perlis 12"
"tender perkhidmatan kebersihan bangunan dan kawasan (kbk) ke sekolah / institusi pendidikan di bawah jabatan pendidikan negeri johor, kementerian pendidikan malaysia bagi tempoh kontrak mulai 1 september 2024 hingga 31 ogos 2027 (36 bulan) – zon tangkak 1"
"tender perkhidmatan kebersihan bangunan dan kawasan (kbk) ke sekolah/institusi pendidikan di bawah jabatan pendidikan negeri perak, kementerian pendidikan malaysia bagi tempoh kontrak mulai 1 september 2024 hingga 31 ogos 2027 (36 bulan) – zon jpn perak"
"tender perkhidmatan kebersihan bangunan dan kawasan (kbk) ke sekolah / institusi pendidikan di bawah jabatan pendidikan negeri johor, kementerian pendidikan malaysia bagi tempoh kontrak mulai 1 september 2024 hingga 31 ogos 2027 (36 bulan) – zon tangkak 2"
"tender perkhidmatan kebersihan bangunan dan kawasan (kbk) ke sekolah / institusi pendidikan di bawah jabatan pendidikan negeri johor, kementerian pendidikan malaysia bagi tempoh kontrak mulai 1 september 2024 hingga 31 ogos 2027 (36 bulan) – zon tangkak 3"
"tender perkhidmatan kebersihan bangunan dan kawasan (kbk) ke sekolah / institusi pendidikan di bawah jabatan pendidikan negeri johor, kementerian pendidikan malaysia bagi tempoh kontrak mulai 1 september 2024 hingga 31 ogos 2027 (36 bulan) – zon tangkak 4"
"tender perkhidmatan kebersihan bangunan dan kawasan (kbk) ke sekolah / institusi pendidikan di bawah jabatan pendidikan negeri johor, kementerian pendidikan malaysia bagi tempoh kontrak mulai 1 september 2024 hingga 31 ogos 2027 (36 bulan) – zon tangkak 5"
"tender perkhidmatan kebersihan bangunan dan kawasan (kbk) ke sekolah / institusi pendidikan di bawah jabatan pendidikan negeri johor, kementerian pendidikan malaysia bagi tempoh kontrak mulai 1 september 2024 hingga 31 ogos 2027 (36 bulan) – zon tangkak 6"
